Keyword,Volume,Topic,Pillar,Page,Page role,Page intent,Keyword intent,Intent source
siem platform,590,Cybersecurity Services,SIEM Overview,Top SIEM Solutions Available,Supporting,Commercial,Commercial,text
casb solution,590,Cybersecurity Practices,CASB Solutions,Exploring CASB Solutions and Vendors,Pillar page,Commercial,Commercial,text
cloud infrastructure entitlement management,590,Cybersecurity Practices,Cloud Security Solutions,Cloud Infrastructure Management Basics,Supporting,Mixed,Commercial,text
continuous vulnerability management,590,Threat Management,Vulnerability Management,Continuous Vulnerability Management,Supporting,Informational,Informational,text
brute force attack meaning,590,Threat Management,Brute Force Attacks,Understanding Brute Force Attacks,Pillar page,Informational,Informational,text
what is intrusion detection,590,Cybersecurity Services,Intrusion Detection Systems,Understanding Intrusion Detection Systems,Supporting,Informational,Informational,text
what is a vulnerability,590,Threat Management,Vulnerability Management,Understanding Vulnerabilities Defined,Supporting,Informational,Informational,text
managed security providers,590,Cybersecurity Services,Managed Security Solutions,Leading Managed Security Providers,Supporting,Commercial,Commercial,text
seim tool,590,Cybersecurity Services,SEIM Solutions,Top SEIM Tools Comparison,Supporting,Mixed,Transactional,text
google cloud security,590,Cybersecurity Practices,Cloud Security Solutions,Understanding Google Cloud Security,Supporting,Informational,Commercial,text
vulnerability assessments,590,Threat Management,Vulnerability Management,Vulnerability Assessment Solutions,Pillar page,Commercial,Informational,text
security orchestration,590,Cybersecurity Services,Security Orchestration Automation,Understanding Security Orchestration,Supporting,Mixed,Commercial,text
attack surface management tools,590,Security Management,Attack Surface Management,Top Attack Surface Management Solutions,Pillar page,Commercial,Commercial,text
network traffic monitoring,590,Threat Management,Network Traffic Analysis,Top Network Traffic Monitors,Pillar page,Commercial,Commercial,text
security managed,590,Cybersecurity Services,Managed Security Solutions,Security Managed Solutions,Supporting,Transactional,Transactional,text
penetration tests,590,Threat Management,Penetration Testing Overview,Comprehensive Penetration Tests,Supporting,Transactional,Transactional,text
penetration testing tool,590,Threat Management,Penetration Testing Overview,Top Penetration Testing Tools,Supporting,Mixed,Transactional,text
endpoint detection,590,Cybersecurity Practices,Endpoint Detection Solutions,Effective Endpoint Detection Strategies,Pillar page,Commercial,Commercial,text
cyber threat intelligence services,590,Threat Management,Threat Intelligence Solutions,Understanding Cyber Threat Intelligence,Supporting,Mixed,Transactional,text
dark web monitoring service,590,Threat Management,Dark Web Insights,Dark Web Monitoring Explained,Supporting,Mixed,Transactional,text
security event management,590,Cybersecurity Services,SIEM Overview,Overview of Security Information Management,Supporting,Informational,Commercial,text
what is ueba,590,Threat Management,UEBA Overview,Understanding UEBA Concepts,Pillar page,Informational,Informational,text
what is vulnerability assessment,590,Threat Management,Vulnerability Management,Vulnerability Assessment Solutions,Pillar page,Commercial,Informational,text
attack surface analysis,590,Security Management,Attack Surface Management,Comprehensive Attack Surface Analysis,Supporting,Mixed,Informational,text
pam privileged access management,590,Security Management,Privileged Access Management,Privileged Access Management Options,Pillar page,Commercial,Commercial,text
security penetration testing,590,Threat Management,Penetration Testing Overview,Types of Penetration Testing,Pillar page,Mixed,Transactional,text
security siem,590,Cybersecurity Services,SIEM Overview,Security Information Management Systems,Supporting,Commercial,Commercial,text
what is seim,590,Cybersecurity Services,SIEM Overview,Understanding SEIM vs SIEM,Supporting,Informational,Informational,text
seim tools,590,Cybersecurity Services,SEIM Solutions,Top SEIM Tools Comparison,Supporting,Mixed,Commercial,text
soar solutions,590,Cybersecurity Services,SOAR in Cybersecurity,Top SOAR Solutions and Services,Supporting,Commercial,Commercial,text
vulnerability management best practices,590,Threat Management,Vulnerability Management,Vulnerability Management Best Practices,Supporting,Informational,Informational,text
dlp data loss,590,Cybersecurity Practices,Data Loss Prevention,Top DLP Security Solutions,Supporting,Commercial,Commercial,text
dynamic application security testing tools,590,Cybersecurity Practices,Application Security Testing,Understanding Dynamic Application Security Testing,Pillar page,Commercial,Commercial,text
iac security,590,Cybersecurity Practices,Infrastructure as Code,IAC Meaning and Security Insights,Supporting,Informational,Commercial,text
asset discovery,480,Risk Management,IT Asset Management,Best Asset Discovery Software,Supporting,Commercial,Commercial,text
siem vendors,480,Cybersecurity Services,SIEM Overview,Top SIEM Solutions Available,Supporting,Commercial,Commercial,text
managed threat detection,480,Cybersecurity Services,Managed Detection and Response,Managed Threat Detection Services Guide,Supporting,Commercial,Transactional,text
cloud migration security,480,Cybersecurity Practices,Cloud Security Solutions,Securing Cloud Migration Processes,Supporting,Mixed,Commercial,text
soar platforms,480,Cybersecurity Services,SOAR in Cybersecurity,Best SOAR Platforms Reviewed,Supporting,Commercial,Commercial,text
privilege access management,480,Security Management,Privileged Access Management,Privileged Access Management Options,Pillar page,Commercial,Commercial,text
pci dss compliance requirements,480,Compliance and Governance,PCI Compliance Solutions,Understanding PCI DSS Compliance,Supporting,Mixed,Informational,text
security event information management system,480,Cybersecurity Services,SIEM Overview,Overview of Security Information Management,Supporting,Informational,Commercial,text
managed siem services,480,Cybersecurity Services,SIEM Overview,Managed SIEM Services Overview,Supporting,Commercial,Transactional,text
advanced persistent threat attacks,480,Threat Management,Advanced Threat Protection,Understanding Advanced Persistent Threats,Supporting,Informational,Informational,text
what is identity and access management iam,480,Security Management,Identity Access Management,Comprehensive IAM Tools Guide,Supporting,Commercial,Informational,text
best siem tools,480,Cybersecurity Services,SIEM Overview,Best SIEM Tools and Solutions,Supporting,Commercial,Commercial,text
siem services,480,Cybersecurity Services,SIEM Overview,Top SIEM Solutions Available,Supporting,Commercial,Transactional,text
cloud based siem,480,Cybersecurity Services,SIEM Overview,Cloud-Based SIEM Solutions,Supporting,Commercial,Commercial,text
ndr solutions,480,Threat Management,NDR Insights,Top NDR Solutions Available,Supporting,Commercial,Commercial,text
mdr security services,480,Cybersecurity Services,MDR Cybersecurity Solutions,MDR Security Services Overview,Supporting,Mixed,Transactional,text
siem cybersecurity,480,Cybersecurity Services,SIEM Overview,SIEM in Cybersecurity Context,Supporting,Mixed,Commercial,text
ndr security,480,Threat Management,NDR Insights,NDR in Cyber Security Explained,Supporting,Mixed,Commercial,text
what is operational technology,480,Cybersecurity Practices,Operational Technology Overview,Understanding Operational Technology,Pillar page,Informational,Informational,text
mdr tools,480,Cybersecurity Services,MDR Cybersecurity Solutions,MDR Tools and Monitoring,Supporting,Mixed,Commercial,text
mitm attacks,480,Threat Management,Man-in-the-Middle Attacks,Overview Of MITM Attack Types,Supporting,Informational,Informational,text
siem acronym,480,Cybersecurity Services,SIEM Overview,Understanding SIEM Meaning,Pillar page,Informational,Informational,text
multi factor authentication definition,480,Security Management,Multi-Factor Authentication,Understanding Multi-Factor Authentication,Pillar page,Mixed,Informational,text
siem monitoring,480,Cybersecurity Services,SIEM Overview,SIEM Monitoring and Alerts,Supporting,Mixed,Commercial,text
patch management program,480,Threat Management,Patch Management Strategies,Comprehensive Patch Management Solutions,Pillar page,Commercial,Commercial,text
managed threat hunting,480,Cybersecurity Services,Managed Detection and Response,Introduction to Managed Threat Hunting,Supporting,Commercial,Commercial,text
what is managed detection and response,480,Cybersecurity Services,Managed Detection and Response,Comprehensive Managed Detection Services,Pillar page,Commercial,Informational,text
attack surface monitoring,480,Security Management,Attack Surface Management,Comprehensive Attack Surface Analysis,Supporting,Mixed,Commercial,text
what is mdr in cyber security,480,Cybersecurity Services,MDR Cybersecurity Solutions,MDR in Cybersecurity Explained,Supporting,Commercial,Informational,text
next generation antivirus,480,Cybersecurity Services,Next Generation Antivirus,Next Generation Antivirus Solutions,Pillar page,Commercial,Commercial,text
what is mitm,480,Threat Management,Man-in-the-Middle Attacks,Introduction To MITM Attacks,Supporting,Informational,Informational,text
managed detection response,480,Cybersecurity Services,Managed Detection and Response,Comprehensive Managed Detection Services,Pillar page,Commercial,Commercial,text
ueba security,480,Threat Management,UEBA Overview,Top UEBA Security Solutions,Supporting,Commercial,Commercial,text
threat intel platform,480,Threat Management,Threat Intelligence Solutions,Top Threat Intelligence Platforms,Pillar page,Commercial,Commercial,text
spear phishing examples,480,Threat Management,Spear Phishing Overview,Understanding Spear Phishing Attacks,Pillar page,Informational,Informational,text
machine learning and cyber security,480,Cybersecurity Practices,Machine Learning in Cybersecurity,Machine Learning in Cybersecurity,Pillar page,Informational,Informational,text
